"","state","location","both_sexes_2004","females_2004","males_2004"
"1","New York","Putnam County",68,62.7,73.6
"2","New York","Saratoga County",66.9,60.9,73.2
"3","New York","Tompkins County",66.2,60.2,72.3
"4","New York","Suffolk County",66,59.9,72.3
"5","New York","Nassau County",65.8,59.6,72.2
"6","New York","Westchester County",65.7,59.9,71.7
"7","New York","Albany County",65.3,59.1,71.7
"8","New York","Dutchess County",65.2,60.5,70.1
"9","New York","Warren County",65.2,59.1,71.6
"10","New York","Monroe County",64.9,58.6,71.4
"11","New York","Erie County",64.8,58.3,71.4
"12","New York","Rensselaer County",64.8,58.3,71.6
"13","New York","New York County",64.4,57.7,71.3
"14","New York","Ontario County",64.3,58.2,70.6
"15","New York","Essex County",64.2,60,68.6
"16","New York","Onondaga County",63.6,56.8,70.6
"17","New York","Schenectady County",63.6,56.8,70.7
"18","New York","Ulster County",63.5,57.7,69.5
"19","New York","Rockland County",63.4,54.8,72.3
"20","New York","Columbia County",62.9,55.2,70.9
"21","New York","Herkimer County",62.8,55.1,70.9
"22","New York","Broome County",62.7,55.7,70
"23","New York","Livingston County",62.7,56.8,68.9
"24","New York","Clinton County",62.6,58,67.4
"25","New York","Madison County",62.4,55.4,69.6
"26","New York","Otsego County",62.2,55.1,69.4
"27","New York","Richmond County",61.6,54.5,69.1
"28","New York","Orange County",61.5,55.2,68
"29","New York","Genesee County",61.4,54,69.2
"30","New York","Niagara County",61.1,54.2,68.3
"31","New York","Cayuga County",60.8,53.8,68.1
"32","New York","Cortland County",60.5,53.5,67.6
"33","New York","Yates County",60.5,52.5,68.8
"34","New York","Wayne County",60.3,52.1,68.9
"35","New York","Montgomery County",60.2,52.1,68.7
"36","New York","Fulton County",59.9,52.8,67.4
"37","New York","Jefferson County",59.9,52.2,67.9
"38","New York","New York",59.8,52.5,67.4
"39","New York","Oneida County",59.8,52.4,67.5
"40","New York","St. Lawrence County",59.8,52.7,67.1
"41","New York","Seneca County",59.7,53.4,66.2
"42","New York","Wyoming County",59.7,54,65.7
"43","New York","Greene County",59.5,52.8,66.4
"44","New York","Schoharie County",59.5,50.8,68.5
"45","New York","Schuyler County",59.5,52.6,66.7
"46","New York","Washington County",59.5,52.3,67
"47","New York","Sullivan County",59.3,52.4,66.5
"48","New York","Tioga County",59.2,51.9,66.9
"49","New York","Franklin County",59.1,53.3,65.2
"50","New York","Chenango County",58.8,51.7,66.2
"51","New York","Delaware County",58.6,51.4,66.1
"52","New York","Oswego County",58.6,50.9,66.5
"53","New York","Chemung County",57.9,51,65
"54","New York","Cattaraugus County",57.8,51.3,64.6
"55","New York","Chautauqua County",57.8,50.5,65.3
"56","New York","Hamilton County",57.7,51.6,64.1
"57","New York","Steuben County",57.2,49.7,65.1
"58","New York","Orleans County",56.8,47.7,66.2
"59","New York","Allegany County",55.4,48.5,62.6
"60","New York","Lewis County",54.1,46.4,62.1
"61","New York","Queens County",52.5,43.4,62
"62","New York","Kings County",51.6,43.1,60.4
"63","New York","Bronx County",45.6,36.9,54.6
