"","state","location","both_sexes_2005","females_2005","males_2005"
"1","Washington","San Juan County",73.3,69.5,77.4
"2","Washington","Jefferson County",68.9,64.2,73.9
"3","Washington","King County",66,61.1,71.2
"4","Washington","Island County",65,59.3,70.9
"5","Washington","Whatcom County",63.4,58,69
"6","Washington","Thurston County",61.9,56.4,67.6
"7","Washington","Kitsap County",61.6,55.7,67.6
"8","Washington","Kittitas County",61.6,56,67.5
"9","Washington","Spokane County",61.4,56,67
"10","Washington","Washington",61,55.2,66.9
"11","Washington","Clallam County",60.7,54.8,66.8
"12","Washington","Snohomish County",60.4,54.2,66.8
"13","Washington","Whitman County",60,53.2,67
"14","Washington","Skamania County",59.9,53.7,66.4
"15","Washington","Clark County",59.6,55,64.3
"16","Washington","Mason County",59.6,53.8,65.7
"17","Washington","Lincoln County",59.2,52.6,66
"18","Washington","Skagit County",59.2,53.3,65.3
"19","Washington","Pierce County",58.9,52.6,65.3
"20","Washington","Wahkiakum County",58.4,52.6,64.5
"21","Washington","Pend Oreille County",57.7,51.2,64.4
"22","Washington","Pacific County",57.1,50.4,64
"23","Washington","Stevens County",56.9,49.7,64.3
"24","Washington","Douglas County",56.6,49.8,63.8
"25","Washington","Chelan County",56.3,48.8,64
"26","Washington","Cowlitz County",56,50.5,61.6
"27","Washington","Benton County",55.8,49,62.9
"28","Washington","Ferry County",55.7,50.2,61.4
"29","Washington","Asotin County",55.5,48.7,62.4
"30","Washington","Columbia County",55.5,49.6,61.6
"31","Washington","Grays Harbor County",55.3,49.4,61.4
"32","Washington","Garfield County",55.2,48,62.6
"33","Washington","Klickitat County",54.3,47.6,61.4
"34","Washington","Okanogan County",53.9,47.2,60.8
"35","Washington","Lewis County",53.1,46.5,60
"36","Washington","Walla Walla County",51.7,45.3,58.2
"37","Washington","Yakima County",48.4,39.8,57.3
"38","Washington","Grant County",47.5,38.8,56.5
"39","Washington","Franklin County",45,35.5,54.9
"40","Washington","Adams County",41.6,29.9,53.7
