"","state","minimum","na.rm"
"1","Alabama",8.6,TRUE
"2","Alaska",14.6,TRUE
"3","Arizona",14.9,TRUE
"4","Arkansas",12.1,TRUE
"5","California",15,TRUE
"6","Colorado",9.2,TRUE
"7","Connecticut",18.2,TRUE
"8","Delaware",17.5,TRUE
"9","District Of Columbia",22,TRUE
"10","Florida",12.1,TRUE
"11","Georgia",10.4,TRUE
"12","Hawaii",19.7,TRUE
"13","Idaho",5.9,TRUE
"14","Illinois",14.7,TRUE
"15","Indiana",14.1,TRUE
"16","Iowa",20.4,TRUE
"17","Kansas",14.2,TRUE
"18","Kentucky",8.5,TRUE
"19","Louisiana",11.5,TRUE
"20","Maine",18.2,TRUE
"21","Maryland",14.8,TRUE
"22","Massachusetts",20.5,TRUE
"23","Michigan",18.5,TRUE
"24","Minnesota",19.7,TRUE
"25","Mississippi",9,TRUE
"26","Missouri",13.5,TRUE
"27","Montana",18.2,TRUE
"28","National",18.3,TRUE
"29","Nebraska",16.3,TRUE
"30","Nevada",16.2,TRUE
"31","New Hampshire",18.7,TRUE
"32","New Jersey",16,TRUE
"33","New Mexico",12.4,TRUE
"34","New York",16.1,TRUE
"35","North Carolina",10.8,TRUE
"36","North Dakota",20.9,TRUE
"37","Ohio",13.7,TRUE
"38","Oklahoma",11,TRUE
"39","Oregon",15.1,TRUE
"40","Pennsylvania",14.6,TRUE
"41","Rhode Island",19.4,TRUE
"42","South Carolina",11.9,TRUE
"43","South Dakota",17.4,TRUE
"44","Tennessee",7.1,TRUE
"45","Texas",10.8,TRUE
"46","Utah",6.5,TRUE
"47","Vermont",19.4,TRUE
"48","Virginia",9.1,TRUE
"49","Washington",14.7,TRUE
"50","West Virginia",9,TRUE
"51","Wisconsin",23.2,TRUE
"52","Wyoming",14.4,TRUE
